,S.No,NAME OF THE STUDENT,UNIVERSITY,PROGRAM NAME,Specialisation,SEMESTER,Domain,GENERAL MANAGEMENT SCORE (OUT of 50),Domain Specific SCORE (OUT 50),TOTAL SCORE (OUT of 100),RANK,PERCENTILE
150,150,Emily Lee,"Massachusetts Institute of Technology (MIT), USA",BBA,Digital Marketing,5th,DM,4,1,5,151,0.006622517
149,149,Samuel Perez,"Stanford University, USA",BBA,International Business,5th,IB,12,8,20,150,0.013245033
148,148,Nicholas Rodriguez,"Harvard University, USA",MBA,International Business,3rd,IB,16,8,24,149,0.01986755
147,147,Ethan Martin,"Stanford University, USA",BBA,International Business,5th,Generic,11,13,24,148,0.026490066
146,146,Avery Lewis,"Stanford University, USA",BBA,Financial Services,5th,Finance,16,12,28,147,0.033112583
145,145,Evelyn Robinson,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,Finance,17,11,28,146,0.039735099
144,144,Andrew Phillips,"Harvard University, USA",MBA,International Business,3rd,IB,22,8,30,145,0.046357616
143,143,Aiden Thompson,"University of Oxford, UK",Intg. BBA+MBA,Financial Services,9th,Finance,21,9,30,144,0.052980132
142,142,Madison Harris,"Harvard University, USA",MBA,Brand Management,3rd,E&I,15,15,30,143,0.059602649
141,141,Aria King,"University of Cambridge, UK",BBA,International Business,5th,Finance,15,15,30,142,0.066225166
140,140,Lucas Hayes,"Stanford University, USA",B.Com,Honours,5th,Finance,17,13,30,141,0.072847682
139,139,Olivia White,"Harvard University, USA",B.Com,Business Analytics,5th,BA,21,9,30,140,0.079470199
138,138,Mia Young,"Stanford University, USA",BBA,International Business,5th,IB,19,12,31,139,0.086092715
137,137,Scarlett Cooper,"University of Oxford, UK",Intg. BBA+MBA,Business Analytics,9th,Finance,15,19,34,138,0.092715232
136,136,Oliver Turner,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,24,13,37,137,0.099337748
135,135,Chloe Anderson,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,17,20,37,136,0.105960265
134,134,James Scott,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,19,19,38,135,0.112582781
133,133,David Adams,"Stanford University, USA",BBA,Business Analytics,5th,BA,17,21,38,134,0.119205298
132,132,Daniel Lee,"Stanford University, USA",BBA,International Business,5th,IB,29,11,40,133,0.125827815
131,131,Harper Diaz,"Harvard University, USA",MBA,International Business,3rd,IB,26,15,41,132,0.132450331
130,130,Emma Reed,"Harvard University, USA",MBA,International Business,3rd,IB,21,21,42,131,0.139072848
129,129,Carter Wood,"Harvard University, USA",MBA,International Business,3rd,IB,26,18,44,130,0.145695364
128,128,Amelia Jones,"Massachusetts Institute of Technology (MIT), USA",BBA,Digital Marketing,5th,DM,28,18,46,129,0.152317881
127,127,Lily Davis,"Stanford University, USA",BBA,Business Analytics,3rd,IB,33,14,47,128,0.158940397
126,126,Logan Brown,"University of Oxford, UK",Intg. BBA+MBA,Financial Services,9th,Finance,28,20,48,127,0.165562914
125,125,Grace Hall,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,28,23,51,126,0.17218543
124,124,Noah Martinez,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,19,34,53,125,0.178807947
123,123,Emily Moore,"Stanford University, USA",BBA,Finance,5th,Finance,32,22,54,124,0.185430464
122,122,Ella Stewart,"Stanford University, USA",BBA,International Business,5th,IB,41,16,57,123,0.19205298
121,121,Matthew Miller,"Harvard University, USA",B.Com,Information Technology with Accounting Analytics,5th,BA,24,33,57,122,0.198675497
120,120,Benjamin Green,"Stanford University, USA",BBA,International Business,5th,IB,32,25,57,121,0.205298013
119,119,Charlotte Baker,"Stanford University, USA",BBA,International Business,5th,IB,39,19,58,120,0.21192053
118,118,Elijah Williams,"Stanford University, USA",BBA,International Business,5th,IB,26,32,58,119,0.218543046
117,117,Sofia Nelson,"Stanford University, USA",B.Com,Business Analytics,5th,Generic,30,29,59,118,0.225165563
116,116,Mia Smith,"Stanford University, USA",BBA,International Business,5th,IB,37,22,59,117,0.231788079
115,115,Layla Jackson,"Harvard University, USA",MBA,International Business,3rd,IB,28,33,61,116,0.238410596
114,114,Sophia Carter,"Harvard University, USA",MBA,International Business,3rd,IB,36,25,61,115,0.245033113
113,113,Abigail Thomas,"University of Oxford, UK",Intg. BBA+MBA,Financial Services,9th,Finance,35,27,62,114,0.251655629
112,112,Joseph Parker,"Massachusetts Institute of Technology (MIT), USA",BBA,Digital Marketing,5th,DM,32,30,62,113,0.258278146
111,111,Jack Garcia,"Harvard University, USA",MBA,International Business,3rd,IB,38,24,62,112,0.264900662
110,110,Camila Rivera,"University of Oxford, UK",Intg. BBA+MBA,Financial Services,9th,Finance,31,31,62,111,0.271523179
109,109,Liam Taylor,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,37,25,62,110,0.278145695
108,108,Zoey Jenkins,"Stanford University, USA",B.Com,Business Analytics,5th,BA,49,13,62,109,0.284768212
107,107,Michael Evans,"Stanford University, USA",B.Com,Finance,5th,Generic,35,28,63,108,0.291390728
106,106,Alexander Clark,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,28,36,64,107,0.298013245
105,105,Harper Bailey,"Harvard University, USA",MBA,International Business,3rd,IB,28,36,64,106,0.304635762
